file_name	file_id
12barblues_ms.mid	id_00001
23_hours_blues_hh.mid	id_00002
a_bluesy_thing_dwf.mid	id_00003
a_change_is_gonna_come_gr_kar-1.mid	id_00004
aint_got_no_home_sd.mid	id_00005
albert_ammons_blues_mw3.mid	id_00006
all_blues_bl.mid	id_00007
am_i_blue_sg.mid	id_00008
anji_tw.mid	id_00009
another_blues_me_jrb.mid	id_00010
at_last_rf.mid	id_00011
baby_workout_gr_kar.mid	id_00012
barneys_blues_da.mid	id_00013
barzone_blues_adj.mid	id_00014
basin_street_blues_wc.mid	id_00015
between_the_sheets-isley-bros_mlod.mid	id_00016
billys_bluegrass_blues_ba.mid	id_00017
birth_of_the_blues_ht.mid	id_00018
blooze_ad.mid	id_00019
blue_monday_gr_kar.mid	id_00020
blues_for_chesie-org_jk.mid	id_00021
blues_for_jen_rw.mid	id_00022
blues_for_trumpets_and_things_rw.mid	id_00023
blues_in_the_nite_wc.mid	id_00024
blues_jc.mid	id_00025
blues_project_one_org_bomi.mid	id_00026
blues_stay_away_from_me_jah.mid	id_00027
boogie_with_stu_pg.mid	id_00028
budapest-George Ezra-kar_rt.mid	id_00029
buddys_blues_jrb.mid	id_00030
cqboogie_dc.mid	id_00031
crosscut_saw_sd.mid	id_00032
crossroads_efp.mid	id_00033
deans_mid_afternoon_blues_dk.mid	id_00034
deep_depression_blues_hh.mid	id_00035
doczblu3_ad.mid	id_00036
dont_say_nothin_bad_about_my_baby-kar_gr.mid	id_00037
dont_trust_the_govenment_gvc.mid	id_00038
down_in_the_alley_dc.mid	id_00039
dreams_jdb.mid	id_00040
dust_my_broom_js11.mid	id_00041
e_jam_blues_jrb_efp.mid	id_00042
epaise_blues_sjm.mid	id_00043
feeling_the_blues_gc.mid	id_00044
for_your_precious_love_fd.mid	id_00045
ghost-Ella Henderson-kar_gc9.mid	id_00046
give_me_one_reason_dg3.mid	id_00047
good_morning_little_school_girl_es.mid	id_00048
good_morning_little_school_girl-kar_gc9.mid	id_00049
gravity-kar_gc9.mid	id_00050
green_onions_efp.mid	id_00051
happy_blues_md.mid	id_00052
hard_to_come_by_dz.mid	id_00053
have_you_ever_loved_a_woman_doc.mid	id_00054
help_me_efp.mid	id_00055
help_me_through_the_day_rw.mid	id_00056
hideaway_da2.mid	id_00057
home_again_blues_sk.mid	id_00058
honky_tonk_bz2.mid	id_00059
honky_tonk_jrb.mid	id_00060
house_of_the_rising_sun_efp.mid	id_00061
house_rising_sun_wf.mid	id_00062
how_blue_can_you_get_bz3-bz2.mid	id_00063
if_you_care_pw.mid	id_00064
im_a_king_bee_hds_efp.mid	id_00065
im_your_puppet-kar_gc9.mid	id_00066
in_the_evening_when_the_sun_goes_down_pk.mid	id_00067
its_all_right_gr_kar.mid	id_00068
ive_got_dreams_to_remember-kar_gc9.mid	id_00069
jamin_for_doc_doc_bomi.mid	id_00070
jammin_the_copyright_blues_if.mid	id_00071
jitter_bug_is_gone_efp.mid	id_00072
joes_blues_bar_jrb.mid	id_00073
juke_jb.mid	id_00074
just_blues_mdw.mid	id_00075
kansascity_ht.mid	id_00076
key_to_the_highway_efp.mid	id_00077
little_lips_sw.mid	id_00078
little_red_rooster-kar_gc9.mid	id_00079
look what youve done for me-Al Green-kar_gc9.mid	id_00080
lover_man_mw.mid	id_00081
mama_goes_where_papa_goes_hh2.mid	id_00082
mambo_house_dz.mid	id_00083
melancholy_blues_hh2.mid	id_00084
my_lovers_prayer-kar_gc9.mid	id_00085
nite_till_dawn_ah.mid	id_00086
nothing_but_the_blues_hm.mid	id_00087
nothing_can_change_this_love_gr_kar.mid	id_00088
nothin_to_do_rb.mid	id_00089
old_weakness_bk_gb_gl_kar.mid	id_00090
one_way_out_jdb_kar.mid	id_00091
papas_got_a_brand_new_bag_gr.mid	id_00092
piano_blues_hm.mid	id_00093
pinetops_boogie_woogie_dc.mid	id_00094
rays_blues_jh.mid	id_00095
rock_me_baby_efp.mid	id_00096
san-ho-zay_and-sen-sa-shun_medley_das.mid	id_00097
shades_of_blue_bd.mid	id_00098
since_i_met_you_baby.mid	id_00099
singing_the_blues_gr_kar.mid	id_00100
somebody-Loan Me A Dime-kar_gc9.mid	id_00101
soul_man_gr.mid	id_00102
still_got_the_blues_for_you-bz2-bz3.mid	id_00103
still_got_the_blues_hds.mid	id_00104
st_louis_blues_bm.mid	id_00105
sweet_home_chicago-magic_sam_dg.mid	id_00106
sweet_home_chicago_vs.mid	id_00107
swing_low_sweet_chariot_efp.mid	id_00108
thats_what_my_heart_needs-kar_gc9.mid	id_00109
the_heart_of_life-john_mayer_est.mid	id_00110
the_monkey_time_gr_kar.mid	id_00111
these_arms_of_mine-kar_gc9.mid	id_00112
three_30_blues_gr.mid	id_00113
trouble_in_mind_jk.mid	id_00114
truckin_sd.mid	id_00115
walking_by_myself-midiot.mid	id_00116
walking_the_dog_da.mid	id_00117
waves-Mr Probz-kar_gc9.mid	id_00118
when_you_dance-The Turbans-kar_rt.mid	id_00119
whiskey_and_wimmen_hh2.mid	id_00120
ze_bloes_gk.mid	id_00121
dc_01_0196_02.mid	id_00122
dc_01_0196_der.mid	id_00123
dc_01_0541.mid	id_00124
dc_01_0542a.mid	id_00125
dc_01_0542b.mid	id_00126
dc_01_1006prld.mid	id_00127
dc_01_1007cs_1.mid	id_00128
dc_01_1030b1st.mid	id_00129
dc_01_1030b2nd.mid	id_00130
dc_01_1030b3rd.mid	id_00131
dc_01_1039trsn.mid	id_00132
dc_01_1058_1__.mid	id_00133
dc_01_1066_1ov.mid	id_00134
dc_01_1066_2co.mid	id_00135
dc_01_1066_3ga.mid	id_00136
dc_01_1066_4fo.mid	id_00137
dc_01_1066_5me.mid	id_00138
dc_01_1066_6bo.mid	id_00139
dc_01_1066_7pa.mid	id_00140
dc_01_11_chor.mid	id_00141
dc_01_142_01.mid	id_00142
dc_01_142_02.mid	id_00143
dc_01_142_03.mid	id_00144
dc_01_142_04.mid	id_00145
dc_01_142_05.mid	id_00146
dc_01_142_06.mid	id_00147
dc_01_142_07.mid	id_00148
dc_01_142_08.mid	id_00149
dc_01_172canta.mid	id_00150
dc_01_172chorl.mid	id_00151
dc_01_1_aria.mid	id_00152
dc_01_1bran2-1.mid	id_00153
dc_01_1fuga1.mid	id_00154
dc_01_1men.mid	id_00155
dc_01_1ouvert.mid	id_00156
dc_01_1pre3eng.mid	id_00157
dc_01_208jsb09.mid	id_00158
dc_01_243_01.mid	id_00159
dc_01_243_02.mid	id_00160
dc_01_243_034.mid	id_00161
dc_01_243_05.mid	id_00162
dc_01_243_06.mid	id_00163
dc_01_243_07.mid	id_00164
dc_01_243_08.mid	id_00165
dc_01_243_09.mid	id_00166
dc_01_243_10.mid	id_00167
dc_01_243_11.mid	id_00168
dc_01_243_12.mid	id_00169
dc_01_244_57.mid	id_00170
dc_01_29.mid	id_00171
dc_01_2all3eng.mid	id_00172
dc_01_2men.mid	id_00173
dc_01_2ndprld.mid	id_00174
dc_01_2_recit.mid	id_00175
dc_01_2rondo.mid	id_00176
dc_01_3crt3eng.mid	id_00177
dc_01_3men.mid	id_00178
dc_01_3_pt_01.mid	id_00179
dc_01_3_pt_02.mid	id_00180
dc_01_3_pt_03.mid	id_00181
dc_01_3_pt_04.mid	id_00182
dc_01_3_pt_05.mid	id_00183
dc_01_3_pt_06.mid	id_00184
dc_01_3_pt_07.mid	id_00185
dc_01_3_pt_08.mid	id_00186
dc_01_3_pt_09.mid	id_00187
dc_01_3_pt_10.mid	id_00188
dc_01_3_pt_11.mid	id_00189
dc_01_3_pt_12.mid	id_00190
dc_01_3_pt_13.mid	id_00191
dc_01_3_pt_15.mid	id_00192
dc_01_3rdprld.mid	id_00193
dc_01_3_recit.mid	id_00194
dc_01_3sarab.mid	id_00195
dc_01_4_aria.mid	id_00196
dc_01_4bourree.mid	id_00197
dc_01_4bwv140.mid	id_00198
dc_01_4sar3eng.mid	id_00199
dc_01_4_setzen.mid	id_00200
dc_01_4tanz.mid	id_00201
dc_01_565_tocf.mid	id_00202
dc_01_589_albr.mid	id_00203
dc_01_5les3eng.mid	id_00204
dc_01_5pol.mid	id_00205
dc_01_5polonez.mid	id_00206
dc_01_5_recit.mid	id_00207
dc_01_6_chor.mid	id_00208
dc_01_6g1v3eng.mid	id_00209
dc_01_6klcan.mid	id_00210
dc_01_6menuet.mid	id_00211
dc_01_711duet.mid	id_00212
dc_01_75math1a.mid	id_00213
dc_01_7badi.mid	id_00214
dc_01_7g2v3eng.mid	id_00215
dc_01_7_recit1.mid	id_00216
dc_01_7_recit2.mid	id_00217
dc_01_7_recit3.mid	id_00218
dc_01_7schz.mid	id_00219
dc_01_813_1all.mid	id_00220
dc_01_813_2cou.mid	id_00221
dc_01_813_3sar.mid	id_00222
dc_01_813_4air.mid	id_00223
dc_01_813_5am1.mid	id_00224
dc_01_813_5bm2.mid	id_00225
dc_01_813_5cm1.mid	id_00226
dc_01_813_6gig.mid	id_00227
dc_01_816_1all.mid	id_00228
dc_01_816_2cou.mid	id_00229
dc_01_816_3sar.mid	id_00230
dc_01_816_4gav.mid	id_00231
dc_01_816_5bou.mid	id_00232
dc_01_816_6lou.mid	id_00233
dc_01_816_7gig.mid	id_00234
dc_01_818_1all.mid	id_00235
dc_01_818_2cou.mid	id_00236
dc_01_818_3dou.mid	id_00237
dc_01_818_3sar.mid	id_00238
dc_01_818_4gig.mid	id_00239
dc_01_819_1all.mid	id_00240
dc_01_819_2cou.mid	id_00241
dc_01_819_3sar.mid	id_00242
dc_01_819_4bou.mid	id_00243
dc_01_819_5am1.mid	id_00244
dc_01_819_5bm2.mid	id_00245
dc_01_819_5cm1.mid	id_00246
dc_01_819a_all.mid	id_00247
dc_01_852wti7.mid	id_00248
dc_01_8gig3eng.mid	id_00249
dc_01_8mustt.mid	id_00250
dc_01_988-aria.mid	id_00251
dc_01_988-v01.mid	id_00252
dc_01_988-v02.mid	id_00253
dc_01_988-v03.mid	id_00254
dc_01_988-v04.mid	id_00255
dc_01_988-v05.mid	id_00256
dc_01_988-v06.mid	id_00257
dc_01_988-v07.mid	id_00258
dc_01_988-v08.mid	id_00259
dc_01_988-v09.mid	id_00260
dc_01_988-v10.mid	id_00261
dc_01_988-v11.mid	id_00262
dc_01_988-v12.mid	id_00263
dc_01_988-v13.mid	id_00264
dc_01_988-v14.mid	id_00265
dc_01_988-v15.mid	id_00266
dc_01_988-v16.mid	id_00267
dc_01_988-v17.mid	id_00268
dc_01_988-v18.mid	id_00269
dc_01_988-v19.mid	id_00270
dc_01_988-v20.mid	id_00271
dc_01_988-v21.mid	id_00272
dc_01_988-v22.mid	id_00273
dc_01_988-v23.mid	id_00274
dc_01_988-v24.mid	id_00275
dc_01_988-v25.mid	id_00276
dc_01_988-v26.mid	id_00277
dc_01_988-v27.mid	id_00278
dc_01_988-v28.mid	id_00279
dc_01_988-v29.mid	id_00280
dc_01_988-v30.mid	id_00281
dc_01_aa_js926.mid	id_00282
dc_01_ab_bwv59.mid	id_00283
dc_01_aechzen.mid	id_00284
dc_01_air_gstr.mid	id_00285
dc_01_albwv589.mid	id_00286
dc_01_aljb527a.mid	id_00287
dc_01_aljb527b.mid	id_00288
dc_01_aljb527c.mid	id_00289
dc_01_al_jsb22.mid	id_00290
dc_01_andre01.mid	id_00291
dc_01_anna-01.mid	id_00292
dc_01_anna-02.mid	id_00293
dc_01_anna-03.mid	id_00294
dc_01_anna-04.mid	id_00295
dc_01_anna-05.mid	id_00296
dc_01_anna-06.mid	id_00297
dc_01_anna-07.mid	id_00298
dc_01_anna-08a.mid	id_00299
dc_01_anna-08b.mid	id_00300
dc_01_anna-09.mid	id_00301
dc_01_anna-10.mid	id_00302
dc_01_anna_11.mid	id_00303
dc_01_anna-12.mid	id_00304
dc_01_anna-13.mid	id_00305
dc_01_anna-14.mid	id_00306
dc_01_anna-15.mid	id_00307
dc_01_anna-16.mid	id_00308
dc_01_anna-17.mid	id_00309
dc_01_anna-18.mid	id_00310
dc_01_anna-19.mid	id_00311
dc_01_anna-20.mid	id_00312
dc_01_anna-21.mid	id_00313
dc_01_anna-22.mid	id_00314
dc_01_anna-23.mid	id_00315
dc_01_anna-24.mid	id_00316
dc_01_anna-25.mid	id_00317
dc_01_anna-27.mid	id_00318
dc_01_anna-28.mid	id_00319
dc_01_anna-29.mid	id_00320
dc_01_anna-30.mid	id_00321
dc_01_anna-31.mid	id_00322
dc_01_anna-32.mid	id_00323
dc_01_anna-33.mid	id_00324
dc_01_anna-34.mid	id_00325
dc_01_anna-35.mid	id_00326
dc_01_anna-36.mid	id_00327
dc_01_anna-37.mid	id_00328
dc_01_anna-40.mid	id_00329
dc_01_anna-41.mid	id_00330
dc_01_aof-14.mid	id_00331
dc_01_aof-15.mid	id_00332
dc_01_aof1.mid	id_00333
dc_01_applicat.mid	id_00334
dc_01_aria2nov.mid	id_00335
dc_01_ariagold.mid	id_00336
dc_01_arioso.mid	id_00337
dc_01_ausliebe.mid	id_00338
dc_01_awake.mid	id_00339
dc_01_azbw1060.mid	id_00340
dc_01_azbwv895.mid	id_00341
dc_01_azbwv900.mid	id_00342
dc_01_azbwv902.mid	id_00343
dc_01_azbwv924.mid	id_00344
dc_01_azbwv929.mid	id_00345
dc_01_azbwv939.mid	id_00346
dc_01_azbwv941.mid	id_00347
dc_01_azbwv999.mid	id_00348
dc_01_azguedm.mid	id_00349
dc_01_azichw1.mid	id_00350
dc_01_azwiesol.mid	id_00351
dc_01_b1002n8.mid	id_00352
dc_01_b1007ajl.mid	id_00353
dc_01_b1007bjl.mid	id_00354
dc_01_b1007cjl.mid	id_00355
dc_01_b1007djl.mid	id_00356
dc_01_b1007ejl.mid	id_00357
dc_01_b1007fjl.mid	id_00358
dc_01_b1008ajl.mid	id_00359
dc_01_b1008bjl.mid	id_00360
dc_01_b1008cjl.mid	id_00361
dc_01_b1008djl.mid	id_00362
dc_01_b1008ejl.mid	id_00363
dc_01_b1008fjl.mid	id_00364
dc_01_b1009ajl.mid	id_00365
dc_01_b1009bjl.mid	id_00366
dc_01_b1009cjl.mid	id_00367
dc_01_b1009djl.mid	id_00368
dc_01_b1009ejl.mid	id_00369
dc_01_b1009fjl.mid	id_00370
dc_01_b1010ajl.mid	id_00371
dc_01_b1010bjl.mid	id_00372
dc_01_b1010cjl.mid	id_00373
dc_01_b1010djl.mid	id_00374
dc_01_b1010ejl.mid	id_00375
dc_01_b1010fjl.mid	id_00376
dc_01_b1011ajl.mid	id_00377
dc_01_b1011bjl.mid	id_00378
dc_01_b1011cjl.mid	id_00379
dc_01_b1011djl.mid	id_00380
dc_01_b1011ejl.mid	id_00381
dc_01_b1011fjl.mid	id_00382
dc_01_b1012ajl.mid	id_00383
dc_01_b1012bjl.mid	id_00384
dc_01_b1012cjl.mid	id_00385
dc_01_b1012djl.mid	id_00386
dc_01_b1012ejl.mid	id_00387
dc_01_b1012fjl.mid	id_00388
dc_01_b1025a.mid	id_00389
dc_01_b1025b.mid	id_00390
dc_01_b1025c.mid	id_00391
dc_01_b1025d.mid	id_00392
dc_01_b1025e.mid	id_00393
dc_01_b1025f.mid	id_00394
dc_01_b1025g.mid	id_00395
dc_01_b1pfa.mid	id_00396
dc_01_ba_air.mid	id_00397
dc_01_babwv651.mid	id_00398
dc_01_babwv652.mid	id_00399
dc_01_babwv653.mid	id_00400
dc_01_babwv654.mid	id_00401
dc_01_babwv655.mid	id_00402
dc_01_babwv656.mid	id_00403
dc_01_babwv657.mid	id_00404
dc_01_babwv658.mid	id_00405
dc_01_babwv659.mid	id_00406
dc_01_babwv660.mid	id_00407
dc_01_babwv661.mid	id_00408
dc_01_babwv662.mid	id_00409
dc_01_babwv663.mid	id_00410
dc_01_babwv664.mid	id_00411
dc_01_babwv665.mid	id_00412
dc_01_babwv666.mid	id_00413
dc_01_babwv667.mid	id_00414
dc_01_babwv668.mid	id_00415
dc_01_bac2_bad.mid	id_00416
dc_01_bacfan.mid	id_00417
dc_01_bach10-1.mid	id_00418
dc_01_bach10-2.mid	id_00419
dc_01_bach_104.mid	id_00420
dc_01_bach104.mid	id_00421
dc_01_bach1065.mid	id_00422
dc_01_bach1070.mid	id_00423
